symbol,entry_time,exit_time,entry_price,exit_price,duration,duration_hours,entry_equity_before,exit_equity_after,gross_price_return_pct,net_trade_return_pct,net_pnl_cash,entry_fee_cash,exit_fee_cash,total_fee_cash,exit_reason,result
BTC/USDT,2024-11-06 04:00:00+00:00,2024-11-24 16:00:00+00:00,74261.07,96404.0,18d 12h,444,1093.2000144404788,1416.330008072734,29.81768240075182,29.558176853632734,323.12999363225526,1.0932000144404788,1.4177477558285625,2.5109477702690413,confirmed_regime_off,win
BTC/USDT,2024-11-25 00:00:00+00:00,2024-11-25 16:00:00+00:00,97714.28,95912.0,0d 16h,16,1416.330008072734,1387.427646090697,-1.8444387043531352,-2.0406516713831313,-28.902361982037064,1.4163300080727341,1.3888164625532502,2.805146470625984,confirmed_regime_off,loss
BTC/USDT,2024-11-28 00:00:00+00:00,2024-11-28 16:00:00+00:00,96552.01,94972.0,0d 16h,16,1387.427646090697,1361.9952253142637,-1.6364340835576585,-1.8330628518246073,-25.43242077643322,1.387427646090697,1.363358583898162,2.750786229988859,confirmed_regime_off,loss
BTC/USDT,2024-11-28 20:00:00+00:00,2024-12-02 08:00:00+00:00,94820.01,95053.66,3d 12h,84,1361.9952253142637,1362.6220379974566,0.24641423260767237,0.046021650556693494,0.6268126831928384,1.3619952253142638,1.363986024021478,2.725981249335742,confirmed_regime_off,win
BTC/USDT,2024-12-02 16:00:00+00:00,2024-12-02 20:00:00+00:00,96167.46,95666.66,0d 4h,4,1362.6220379974566,1352.816374443848,-0.5207582689612522,-0.7196172731815831,-9.80566355360861,1.3626220379974565,1.3541705449888368,2.7167925829862933,confirmed_regime_off,loss
BTC/USDT,2024-12-04 12:00:00+00:00,2024-12-04 16:00:00+00:00,95967.98,94847.81,0d 4h,4,1352.816374443848,1334.3531396504661,-1.1672330708638379,-1.3647997719551719,-18.463234793381844,1.352816374443848,1.335688828478945,2.688505202922793,confirmed_regime_off,loss
BTC/USDT,2024-12-04 20:00:00+00:00,2024-12-06 00:00:00+00:00,98747.97,97551.99,1d 4h,28,1334.3531396504661,1315.5571369840181,-1.2111438847806189,-1.4086228081549357,-18.796002666447976,1.3343531396504662,1.3168740109950132,2.6512271506454796,confirmed_regime_off,loss
BTC/USDT,2024-12-06 08:00:00+00:00,2024-12-09 04:00:00+00:00,98345.38,99427.99,2d 20h,68,1315.5571369840181,1327.3803635712882,1.1008244617083163,0.8987239136093672,11.823226587270028,1.3155571369840182,1.3287090726439321,2.6442662096279506,confirmed_regime_off,win
BTC/USDT,2024-12-09 08:00:00+00:00,2024-12-09 12:00:00+00:00,98901.15,98601.05,0d 4h,4,1327.3803635712882,1320.707254500209,-0.30343428767005687,-0.5027277225290061,-6.673109071079125,1.3273803635712882,1.322029283783993,2.6494096473552813,confirmed_regime_off,loss
BTC/USDT,2024-12-11 20:00:00+00:00,2024-12-18 20:00:00+00:00,101271.56,100846.67,7d 0h,168,1320.707254500209,1312.5371426370334,-0.41955510510551797,-0.6186164144504125,-8.170111863175634,1.320707254500209,1.3138509936306642,2.6345582481308734,confirmed_regime_off,loss
BTC/USDT,2024-12-25 16:00:00+00:00,2024-12-26 08:00:00+00:00,98425.51,95878.56,0d 16h,16,1312.5371426370334,1276.0168444578997,-2.587692966996058,-2.7824201687550287,-36.52029817913376,1.3125371426370334,1.2772941385964962,2.5898312812335296,confirmed_regime_off,loss
BTC/USDT,2025-01-04 08:00:00+00:00,2025-01-07 16:00:00+00:00,97906.07,97733.58,3d 8h,80,1276.0168444578997,1271.2225061241832,-0.17617906632346747,-0.3757268843698758,-4.794338333716496,1.2760168444578996,1.2724950011253084,2.5485118455832083,confirmed_regime_off,loss
BTC/USDT,2025-01-16 08:00:00+00:00,2025-01-20 00:00:00+00:00,98955.8,99794.51,3d 16h,88,1271.2225061241832,1279.4341706748132,0.847560223857502,0.6459659509700177,8.211664550630076,1.271222506124183,1.2807148855603736,2.5519373916845565,confirmed_regime_off,win
BTC/USDT,2025-01-20 08:00:00+00:00,2025-01-21 00:00:00+00:00,108320.01,101187.75,0d 16h,16,1279.4341706748132,1192.8014808783523,-6.584434399516759,-6.771172115152135,-86.63268979646091,1.2794341706748134,1.1939954763547072,2.4734296470295205,confirmed_regime_off,loss
BTC/USDT,2025-01-21 12:00:00+00:00,2025-01-23 00:00:00+00:00,104519.98,103307.51,1d 12h,36,1192.8014808783523,1176.6077972592263,-1.1600365786522349,-1.3576176655315075,-16.193683619125977,1.1928014808783522,1.1777855828420685,2.3705870637204205,confirmed_regime_off,loss
BTC/USDT,2025-01-23 16:00:00+00:00,2025-01-23 20:00:00+00:00,105139.18,103284.48,0d 4h,4,1176.6077972592263,1153.5413856202929,-1.7640426718184332,-1.9604163505174799,-23.06641163893346,1.1766077972592264,1.154696081701995,2.3313038789612213,confirmed_regime_off,loss
BTC/USDT,2025-01-24 00:00:00+00:00,2025-01-27 00:00:00+00:00,103446.62,101728.0,3d 0h,72,1153.5413856202929,1132.1092995371573,-1.6613592594905469,-1.857938202330811,-21.432086083135573,1.153541385620293,1.1332425420792365,2.2867839276995294,confirmed_regime_off,loss
BTC/USDT,2025-01-30 04:00:00+00:00,2025-01-31 20:00:00+00:00,105478.0,101680.02,1d 16h,40,1132.1092995371573,1089.1634799634248,-3.6007319061794885,-3.793434043099031,-42.94581957373248,1.1321092995371573,1.090253733697122,2.2223630332342794,confirmed_regime_off,loss
BTC/USDT,2025-04-20 20:00:00+00:00,2025-04-30 16:00:00+00:00,85127.58,93939.98,9d 20h,236,1089.1634799634248,1199.5109675318042,10.351991681191919,10.131398049821216,110.34748756837939,1.0891634799634249,1.2007116792110153,2.28987515917444,confirmed_regime_off,win
BTC/USDT,2025-05-01 04:00:00+00:00,2025-05-04 04:00:00+00:00,94860.51,95725.52,3d 0h,72,1199.5109675318042,1208.0293297418582,0.9118757636871422,0.7101529240355342,8.518362210053965,1.1995109675318043,1.2092385683101683,2.408749535841973,confirmed_regime_off,win
BTC/USDT,2025-05-04 08:00:00+00:00,2025-05-04 12:00:00+00:00,95647.27,95462.24,0d 4h,4,1208.0293297418582,1203.282213412223,-0.1934503723943215,-0.392963665099888,-4.747116329635219,1.2080293297418583,1.2044867001123354,2.412516029854194,confirmed_regime_off,loss
BTC/USDT,2025-05-07 00:00:00+00:00,2025-05-12 20:00:00+00:00,97415.65,102678.51,5d 20h,140,1203.282213412223,1265.7539716085507,5.402478965135482,5.191779409684183,62.471758196327755,1.203282213412223,1.267020992601152,2.4703032060133747,confirmed_regime_off,win
BTC/USDT,2025-05-13 00:00:00+00:00,2025-05-13 04:00:00+00:00,102260.01,102745.71,0d 4h,4,1265.7539716085507,1269.2236091902828,0.474965727071619,0.2741162705832023,3.4696375817320586,1.2657539716085509,1.2704941032935766,2.5362480749021277,confirmed_regime_off,win
BTC/USDT,2025-05-13 08:00:00+00:00,2025-05-15 04:00:00+00:00,102722.0,102891.76,1d 20h,44,1269.2236091902828,1268.7797772027907,0.165261579797904,-0.03496877810011956,-0.4438319874921035,1.2692236091902829,1.2700498270298206,2.5392734362201033,confirmed_regime_off,loss
BTC/USDT,2025-05-15 16:00:00+00:00,2025-05-17 12:00:00+00:00,103846.27,102927.57,1d 20h,44,1268.7797772027907,1255.0413711188542,-0.8846730845508466,-1.0828046230548227,-13.738406083936525,1.2687797772027907,1.256297668787642,2.5250774459904326,confirmed_regime_off,loss
BTC/USDT,2025-05-18 04:00:00+00:00,2025-05-19 04:00:00+00:00,103355.01,103002.07,1d 0h,24,1255.0413711188542,1248.2553551532492,-0.34148320434586044,-0.5407005794203723,-6.7860159656049746,1.2550413711188542,1.2495048600132626,2.5045462311321165,confirmed_regime_off,loss
BTC/USDT,2025-05-19 16:00:00+00:00,2025-05-24 00:00:00+00:00,105356.44,107366.68,4d 8h,104,1248.2553551532492,1269.529657888103,1.9080371356511305,1.7043229694169382,21.27430273485379,1.2482553551532491,1.2708004583464494,2.5190558134996985,confirmed_regime_off,win
BTC/USDT,2025-05-24 04:00:00+00:00,2025-05-24 08:00:00+00:00,108485.07,108251.23,0d 4h,4,1269.529657888103,1264.2608620894798,-0.2155503978566009,-0.4150195126113032,-5.2687957986231595,1.269529657888103,1.265526388477958,2.535056046366061,confirmed_regime_off,loss
BTC/USDT,2025-05-24 12:00:00+00:00,2025-05-25 00:00:00+00:00,108776.63,107443.9,0d 12h,12,1264.2608620894798,1246.2748592422195,-1.2251988317711349,-1.4226496593064186,-17.98600284726035,1.2642608620894797,1.2475223816238434,2.511783243713323,confirmed_regime_off,loss
BTC/USDT,2025-05-26 00:00:00+00:00,2025-05-28 00:00:00+00:00,109540.46,109205.39,2d 0h,48,1246.2748592422195,1239.9789838984814,-0.305886975460945,-0.5051755073969932,-6.295875343738089,1.2462748592422195,1.241220204102584,2.487495063344803,confirmed_regime_off,loss
BTC/USDT,2025-06-07 20:00:00+00:00,2025-06-12 04:00:00+00:00,105846.98,107765.12,4d 8h,104,1239.9789838984814,1259.9260239242283,1.812182076427682,1.6086595244569013,19.9470400257469,1.2399789838984814,1.2611872111353637,2.501166195033845,confirmed_regime_off,win
BTC/USDT,2025-06-16 16:00:00+00:00,2025-06-17 12:00:00+00:00,107765.99,105507.0,0d 20h,20,1259.9260239242283,1231.0496651789329,-2.096199366794671,-2.2919090642604334,-28.87635874529542,1.2599260239242283,1.2322819471260589,2.492207971050287,confirmed_regime_off,loss
BTC/USDT,2025-06-25 20:00:00+00:00,2025-07-01 00:00:00+00:00,107781.2,107377.02,5d 4h,124,1231.0496651789329,1223.981583210414,-0.37500046390278596,-0.5741508379754401,-7.068081968518754,1.2310496651789329,1.2252067900004144,2.4562564551793473,confirmed_regime_off,loss
BTC/USDT,2025-07-02 16:00:00+00:00,2025-07-04 16:00:00+00:00,109413.02,107636.98,2d 0h,48,1223.981583210414,1201.7063561145108,-1.623243741923952,-1.8198988776838454,-22.275227095903347,1.2239815832104142,1.2029092653798907,2.426890848590305,confirmed_regime_off,loss
