fold,period,symbol,strategy_name,entry_confirmation_bars,exit_confirmation_bars,cooldown_hours,min_hold_hours,exit_buffer_pct,initial_equity,final_equity,total_return_pct,benchmark_return_pct,max_drawdown_pct,benchmark_drawdown_pct,total_trades,wins,losses,win_rate_pct,profit_factor,avg_trade_return_pct,best_trade_pct,worst_trade_pct,avg_duration_hours,total_fees_paid,exposure_pct,profitable,beat_benchmark,selection_score
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,24,0.0,1000.0,1130.1812469931779,13.018124699317779,-2.0466792524435062,23.797290307454155,52.86450773653576,59,20,39,33.89830508474576,1.1547123523387586,0.31446772209677915,30.12596485142214,-5.59271657488768,88.54237288135593,139.37333957978674,30.159921482593383,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,24,0.01,1000.0,1083.4826342782728,8.348263427827284,-2.0466792524435062,25.01182151056518,52.86450773653576,47,17,30,36.17021276595745,1.1036159778066477,0.29002070575969086,27.61204918793925,-5.59271657488768,116.68085106382979,109.65390013996003,31.660989550256915,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,24,0.02,1000.0,1153.9099693431222,15.390996934312206,-2.0466792524435062,23.424938717365485,52.86450773653576,30,11,19,36.666666666666664,1.2294889246821032,0.7337087902976516,27.612049187939224,-6.13346338870665,205.76666666666668,66.99063232440591,35.638819929565265,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,0,24,0.03,1000.0,1091.1443912718776,9.114439127187746,-2.0466792524435062,32.675221547882096,52.86450773653576,18,5,13,27.77777777777778,1.1524669083795696,1.117878414169349,47.416609205211046,-7.736083463549126,438.94444444444446,42.76411942884039,45.615149240805955,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,0,0.0,1000.0,1099.1141652073786,9.911416520737859,-2.0466792524435062,22.70412813470003,52.86450773653576,59,18,41,30.508474576271187,1.1172959018853263,0.2664524807624669,30.12596485142214,-4.688889213288516,85.15254237288136,137.97547913375968,29.005253738236824,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,0,0.01,1000.0,1118.1689652368013,11.816896523680143,-2.0466792524435062,22.711297480627735,52.86450773653576,47,17,30,36.17021276595745,1.1522328192898856,0.35467517238671753,27.61204918793925,-4.688889213288516,113.27659574468085,111.20314820469828,30.737255354771666,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,0,0.02,1000.0,1143.6455351423647,14.364553514236466,-2.0466792524435062,23.456754224055853,52.86450773653576,30,11,19,36.666666666666664,1.2128310345449707,0.7051807620843231,27.612049187939224,-6.13346338870665,205.53333333333333,66.55915083020031,35.59840655851279,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,0,0.03,1000.0,1091.1443912718776,9.114439127187746,-2.0466792524435062,32.675221547882096,52.86450773653576,18,5,13,27.77777777777778,1.1524669083795696,1.117878414169349,47.416609205211046,-7.736083463549126,438.94444444444446,42.76411942884039,45.615149240805955,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,12,0.0,1000.0,1107.028310521407,10.702831052140716,-2.0466792524435062,22.70412813470003,52.86450773653576,58,18,40,31.03448275862069,1.1277103617288633,0.2833978382356031,30.12596485142214,-4.688889213288516,86.96551724137932,135.8187761613036,29.120720512672477,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,12,0.01,1000.0,1118.1689652368013,11.816896523680143,-2.0466792524435062,22.711297480627735,52.86450773653576,47,17,30,36.17021276595745,1.1522328192898856,0.35467517238671753,27.61204918793925,-4.688889213288516,113.27659574468085,111.20314820469828,30.737255354771666,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,12,0.02,1000.0,1143.6455351423647,14.364553514236466,-2.0466792524435062,23.456754224055853,52.86450773653576,30,11,19,36.666666666666664,1.2128310345449707,0.7051807620843231,27.612049187939224,-6.13346338870665,205.53333333333333,66.55915083020031,35.59840655851279,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,12,0.03,1000.0,1091.1443912718776,9.114439127187746,-2.0466792524435062,32.675221547882096,52.86450773653576,18,5,13,27.77777777777778,1.1524669083795696,1.117878414169349,47.416609205211046,-7.736083463549126,438.94444444444446,42.76411942884039,45.615149240805955,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,24,0.0,1000.0,1152.3473900559682,15.23473900559682,-2.0466792524435062,21.398859571877892,52.86450773653576,56,18,38,32.142857142857146,1.1896832138592484,0.3650836504540879,30.12596485142214,-5.356579117149574,91.78571428571429,133.1565032904849,29.674961029963626,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,24,0.01,1000.0,1133.7755265783892,13.377552657838908,-2.0466792524435062,21.693802446031675,52.86450773653576,46,17,29,36.95652173913043,1.1735398044145668,0.3925565044348658,27.61204918793925,-4.688889213288528,117.6304347826087,110.38219839620916,31.239535823566765,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,24,0.02,1000.0,1143.6455351423647,14.364553514236466,-2.0466792524435062,23.456754224055853,52.86450773653576,30,11,19,36.666666666666664,1.2128310345449707,0.7051807620843231,27.612049187939224,-6.13346338870665,205.53333333333333,66.55915083020031,35.59840655851279,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,12,24,0.03,1000.0,1091.1443912718776,9.114439127187746,-2.0466792524435062,32.675221547882096,52.86450773653576,18,5,13,27.77777777777778,1.1524669083795696,1.117878414169349,47.416609205211046,-7.736083463549126,438.94444444444446,42.76411942884039,45.615149240805955,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,24,0,0.0,1000.0,1176.9272803384242,17.69272803384243,-2.0466792524435062,19.49756963755953,52.86450773653576,53,18,35,33.9622641509434,1.2286483975629983,0.4217513908140541,30.12596485142214,-4.226880966289559,90.79245283018868,127.68394104888507,27.78130592921887,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,24,0,0.01,1000.0,1198.5731266960554,19.85731266960553,-2.0466792524435062,19.05779927422665,52.86450773653576,45,17,28,37.77777777777778,1.2768951895891631,0.5211732057795457,27.61204918793925,-4.226880966289592,115.24444444444444,110.14512916102784,29.94053461116564,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,24,0,0.02,1000.0,1139.8445700060015,13.984457000600159,-2.0466792524435062,24.03204361263641,52.86450773653576,30,11,19,36.666666666666664,1.2042730378281505,0.6939759341358293,27.612049187939224,-6.133463388706661,204.26666666666668,66.6844195773719,35.37901968708504,True,True,
